elev_bins,counts_1,counts_2,counts_3,counts_4,counts_5,counts_6,counts_all,counts_strong,counts_weak
-60.5,57.7431640625,89.7021484375,180.7509765625,586.5732421875,48.32421875,93.5419921875,1056.6357421875,286.818359375,769.8173828125
-60.49,48.6708984375,88.1689453125,282.2958984375,517.6640625,66.1826171875,79.6083984375,1082.5908203125,397.1494140625,685.44140625
-60.480000000000004,65.5703125,69.736328125,193.716796875,562.947265625,50.6875,75.4345703125,1018.0927734375,309.974609375,708.1181640625
-60.470000000000006,69.841796875,69.884765625,223.2646484375,479.4794921875,67.150152722318,126.4814453125,1036.1023011598181,360.256598034818,675.845703125
-60.46000000000001,78.8671875,94.4482421875,204.61328125,635.3193359375,44.51171875,107.28515625,1165.044921875,327.9921875,837.052734375
-60.45000000000001,52.18359375,76.6708984375,137.638671875,564.744140625,26.078125,117.7939453125,975.109375,215.900390625,759.208984375
-60.44000000000001,61.6884765625,55.283203125,207.1728515625,538.783203125,64.1796875,113.6201171875,1040.7275390625,333.041015625,707.6865234375
-60.430000000000014,65.708984375,95.14453125,215.6416015625,510.4453125,61.2421875,76.3369140625,1024.51953125,342.5927734375,681.9267578125
-60.420000000000016,52.814453125,89.7109375,212.4892578125,583.6376953125,61.3984375,97.017578125,1097.068359375,326.7021484375,770.3662109375
-60.41000000000002,66.2431640625,118.0,142.60546875,450.83984375,59.4267578125,82.23828125,919.353515625,268.275390625,651.078125
-60.40000000000002,65.0263671875,47.9501953125,209.6748046875,426.041015625,63.8076171875,84.8037109375,897.3037109375,338.5087890625,558.794921875
-60.39000000000002,52.966796875,97.0341796875,185.763671875,604.5556640625,61.564453125,110.720703125,1112.60546875,300.294921875,812.310546875
-60.380000000000024,55.275390625,57.0322265625,141.0791015625,621.974609375,61.7470703125,105.900390625,1043.0087890625,258.1015625,784.9072265625
-60.370000000000026,65.3388671875,97.4130859375,200.51953125,602.6220703125,50.3955078125,87.8818359375,1104.1708984375,316.25390625,787.9169921875
-60.36000000000003,53.3173828125,46.2861328125,144.2548828125,615.2666015625,64.955078125,105.349609375,1029.4296875,262.52734375,766.90234375
-60.35000000000003,41.22265625,73.9267578125,173.5390625,499.1953125,59.5888671875,87.7509765625,935.2236328125,274.3505859375,660.873046875
-60.34000000000003,52.05078125,102.380859375,192.806640625,483.125,54.068359375,136.2001953125,1020.6318359375,298.92578125,721.7060546875
-60.330000000000034,54.3544921875,73.328125,240.0830078125,683.3876953125,50.53125,61.5966796875,1163.28125,344.96875,818.3125
-60.320000000000036,52.759765625,74.4599609375,173.7216796875,535.435546875,72.6865234375,90.740234375,999.8037109375,299.16796875,700.6357421875
-60.31000000000004,58.7041015625,107.1640625,159.806640625,496.201171875,31.9189453125,97.072265625,950.8671875,250.4296875,700.4375
-60.30000000000004,59.4267578125,68.0009765625,182.0537109375,528.95703125,72.111328125,77.1904296875,987.740234375,313.591796875,674.1484375
-60.29000000000004,47.12109375,89.8173828125,194.9541015625,446.4921875,71.7861328125,86.265625,936.4365234375,313.861328125,622.5751953125
-60.280000000000044,57.47265625,119.88671875,155.19140625,410.630859375,50.4228515625,87.6640625,881.2685546875,263.0869140625,618.181640625
-60.270000000000046,52.3642578125,62.0986328125,186.7216796875,575.2373046875,50.6279296875,79.2138671875,1006.263671875,289.7138671875,716.5498046875
-60.26000000000005,48.46875,87.9970703125,207.9521484375,377.49609375,62.38229552352742,107.6376953125,891.9340533360274,318.80319396102743,573.130859375
-60.25000000000005,70.5458984375,91.1357421875,187.9287109375,450.3623046875,68.50390625,72.19140625,940.66796875,326.978515625,613.689453125
-60.24000000000005,59.453125,81.576171875,184.72265625,540.7734375,64.1865234375,91.8779296875,1022.58984375,308.3623046875,714.2275390625
-60.230000000000054,69.5224609375,91.052734375,198.6669921875,535.5400390625,70.4677734375,69.0400390625,1034.2900390625,338.6572265625,695.6328125
-60.220000000000056,35.546875,109.7109375,169.2333984375,434.77734375,70.2900390625,94.47265625,914.03125,275.0703125,638.9609375
-60.21000000000006,54.763671875,95.0302734375,193.404296875,483.15625,58.9365234375,75.4013671875,960.6923828125,307.1044921875,653.587890625
-60.20000000000006,36.18359375,112.634765625,210.86328125,462.66015625,43.78125,68.423828125,934.546875,290.828125,643.71875
-60.19000000000006,55.8828125,75.890625,201.708984375,555.3681640625,64.1015625,71.5263671875,1024.478515625,321.693359375,702.78515625
-60.180000000000064,54.017578125,76.4599609375,191.7275390625,542.65625,52.5087890625,85.9365234375,1003.306640625,298.25390625,705.052734375
-60.170000000000066,65.4423828125,72.1962890625,228.65234375,645.3056640625,75.89453125,110.6796875,1198.1708984375,369.9892578125,828.181640625
-60.16000000000007,57.74609375,134.8837890625,189.5810546875,472.6376953125,57.9072265625,82.6591796875,995.4150390625,305.234375,690.1806640625
-60.15000000000007,68.7275390625,87.34375,179.052734375,442.5771484375,52.4482421875,99.2314453125,929.380859375,300.228515625,629.15234375
-60.14000000000007,42.6201171875,84.9365234375,162.5947265625,493.2958984375,62.16015625,120.1572265625,965.7646484375,267.375,698.3896484375
-60.130000000000074,52.8603515625,55.107421875,186.150390625,449.8564453125,69.81640625,41.4814453125,855.2724609375,308.8271484375,546.4453125
-60.120000000000076,51.77734375,102.109375,194.1455078125,531.7861328125,53.85546875,70.02734375,1003.701171875,299.7783203125,703.9228515625
-60.11000000000008,58.8505859375,89.7255859375,159.5498046875,699.1826171875,59.4580078125,105.2080078125,1171.974609375,277.8583984375,894.1162109375
