basin,melt_season,granule,region,xatc_total,nphot_total
B-C,2018-19,ATL03_20190102184312_00810210_006_02.h5,ANT_1000_East_B-C.geojson,3753541.453,31711473
B-C,2018-19,ATL03_20190103073055_00890212_006_02.h5,ANT_1000_East_B-C.geojson,2226544.899,44652791
B-C,2018-19,ATL03_20190104070516_01040212_006_02.h5,ANT_1000_East_B-C.geojson,1020451.057,52776406
B-C,2018-19,ATL03_20190106183451_01420210_006_02.h5,ANT_1000_East_B-C.geojson,3683893.205,18079715
B-C,2018-19,ATL03_20190107072235_01500212_006_02.h5,ANT_1000_East_B-C.geojson,2476619.406,51583071
B-C,2018-19,ATL03_20190107180912_01570210_006_02.h5,ANT_1000_East_B-C.geojson,1689758.393,13669696
B-C,2018-19,ATL03_20190108065655_01650212_006_02.h5,ANT_1000_East_B-C.geojson,1632836.555,70191192
B-C,2018-19,ATL03_20190110182629_02030210_006_02.h5,ANT_1000_East_B-C.geojson,2815989.132,3093327
B-C,2018-19,ATL03_20190111071412_02110212_006_02.h5,ANT_1000_East_B-C.geojson,2506288.146,29278605
B-C,2018-19,ATL03_20190111180049_02180210_006_02.h5,ANT_1000_East_B-C.geojson,2418798.309,15751149
B-C,2018-19,ATL03_20190112064832_02260212_006_02.h5,ANT_1000_East_B-C.geojson,2132633.436,60980024
B-C,2018-19,ATL03_20190115070548_02720212_006_02.h5,ANT_1000_East_B-C.geojson,1384936.498,30255365
B-C,2018-19,ATL03_20190115175225_02790210_006_02.h5,ANT_1000_East_B-C.geojson,2964828.226,25990521
B-C,2018-19,ATL03_20190116064007_02870212_006_02.h5,ANT_1000_East_B-C.geojson,2265665.132,62763322
B-C,2018-19,ATL03_20190119065729_03330212_006_02.h5,ANT_1000_East_B-C.geojson,1086315.323,19912835
B-C,2018-19,ATL03_20190119174407_03400210_006_02.h5,ANT_1000_East_B-C.geojson,3070143.313,17457920
B-C,2018-19,ATL03_20190120063151_03480212_006_02.h5,ANT_1000_East_B-C.geojson,2755054.298,46569614
B-C,2018-19,ATL03_20190123064917_03940212_006_02.h5,ANT_1000_East_B-C.geojson,650914.312,8458774
B-C,2018-19,ATL03_20190123173555_04010210_006_02.h5,ANT_1000_East_B-C.geojson,2790048.793,8473626
B-C,2018-19,ATL03_20190124062339_04090212_006_02.h5,ANT_1000_East_B-C.geojson,2972874.647,47256908
B-C,2018-19,ATL03_20190127172740_04620210_006_02.h5,ANT_1000_East_B-C.geojson,3657640.077,27861412
B-C,2018-19,ATL03_20190128061524_04700212_006_02.h5,ANT_1000_East_B-C.geojson,3141429.221,57430963
B-C,2018-19,ATL03_20190131171923_05230210_006_02.h5,ANT_1000_East_B-C.geojson,3771612.32,10772792
B-C,2018-19,ATL03_20190201060707_05310212_006_02.h5,ANT_1000_East_B-C.geojson,2554067.093,31711973
B-C,2018-19,ATL03_20190202054128_05460212_006_02.h5,ANT_1000_East_B-C.geojson,829475.539,29153958
B-C,2018-19,ATL03_20190204171104_05840210_006_02.h5,ANT_1000_East_B-C.geojson,3739181.554,10238184
B-C,2018-19,ATL03_20190205055847_05920212_006_02.h5,ANT_1000_East_B-C.geojson,2300259.028,43072873
B-C,2018-19,ATL03_20190205164525_05990210_006_02.h5,ANT_1000_East_B-C.geojson,880989.256,663672
B-C,2018-19,ATL03_20190206053308_06070212_006_02.h5,ANT_1000_East_B-C.geojson,1487046.918,43046905
B-C,2018-19,ATL03_20190208170243_06450210_006_02.h5,ANT_1000_East_B-C.geojson,2932876.865,19641628
B-C,2018-19,ATL03_20190209055025_06530212_006_02.h5,ANT_1000_East_B-C.geojson,2599192.898,35590753
B-C,2018-19,ATL03_20190209163703_06600210_006_02.h5,ANT_1000_East_B-C.geojson,2155605.841,2374622
B-C,2018-19,ATL03_20190210052446_06680212_006_02.h5,ANT_1000_East_B-C.geojson,1905099.748,29782628
B-C,2018-19,ATL03_20190212165420_07060210_006_02.h5,ANT_1000_East_B-C.geojson,2361254.692,3429257
B-C,2018-19,ATL03_20190213054203_07140212_006_02.h5,ANT_1000_East_B-C.geojson,1613586.732,24377019
B-C,2018-19,ATL03_20190213162841_07210210_006_02.h5,ANT_1000_East_B-C.geojson,2825670.571,18098374
B-C,2018-19,ATL03_20190214051625_07290212_006_02.h5,ANT_1000_East_B-C.geojson,2223679.347,47701140
B-C,2018-19,ATL03_20190217053344_07750212_006_02.h5,ANT_1000_East_B-C.geojson,1163609.804,12952186
B-C,2018-19,ATL03_20190217162021_07820210_006_02.h5,ANT_1000_East_B-C.geojson,3096074.443,2053858
B-C,2018-19,ATL03_20190218050804_07900212_006_02.h5,ANT_1000_East_B-C.geojson,2615553.3,42253817
B-C,2018-19,ATL03_20190221052524_08360212_006_02.h5,ANT_1000_East_B-C.geojson,861651.493,11710519
B-C,2018-19,ATL03_20190221161201_08430210_006_02.h5,ANT_1000_East_B-C.geojson,2834942.787,21296027
B-C,2018-19,ATL03_20190222045945_08510212_006_02.h5,ANT_1000_East_B-C.geojson,2901349.659,46689080
B-C,2018-19,ATL03_20190225160343_09040210_006_02.h5,ANT_1000_East_B-C.geojson,3500232.161,12286864
B-C,2018-19,ATL03_20190226045126_09120212_006_02.h5,ANT_1000_East_B-C.geojson,3113046.372,27046365
